0-Producto,1-Unidad,2-Precio Productores,Existencia Inicial,Existencia Actual,5-Precio Ciudad Silvestre,Pedido Total (Unidad),Costo Total,Ingreso Total
Hummus (220g ),Pieza,$80.00,6,6,$114.00,0,$0.00,$0.00
Bombones de Lavanda (160g ),Pieza,$100.00,12,12,$143.00,0,$0.00,$0.00
Fruit Rollups 100g Mango/ Fresa ,Pieza,$105.00,8,7,$150.00,1,$105.00,$150.00
MARMOTA (@marmota_mx),,,,,,,,
Yogurt (1L ),Pieza,$80.00,6,6,$107.00,0,$0.00,$0.00
"Granola (avena, avellana, higo, semilla de hinojo, semilla de cilantro, pimienta, semilla de mostaza) (200g)",Pieza,$50.00,15,14,$71.00,1,$50.00,$71.00
Queso de montaña con trufa (200g) ,Pieza,$90.00,10,9,$129.00,1,$90.00,$129.00
Pork Belly Semicurado (500g c/u),Pieza,$150.00,10,7,$200.00,3,$450.00,$600.00
CELESTIAL,,,,,,,,
"Salchichas Bratwurst (carne de cerdo con diez condimentos diferentes; producto no agroecológico) 4 salchichas, aprox 800gr",Pieza,$110.00,10,10,$147.00,0,$0.00,$0.00
"Salchichas Schubling (carne de cerdo molida fina y condimento ligero, consistencia blanda y esponjosa; producto no agroecológico) 4 salchichas, aprox 800gr",Pieza,$110.00,10,10,$147.00,0,$0.00,$0.00
"Rindswurst (carne de res condimentada, tiene notas de ajo y paprika y es ligeramente picante; producto no agroecológico) 4 salchichas, aprox 800gr",Pieza,$140.00,10,10,$187.00,0,$0.00,$0.00
"Weisswurst (carne de ternera, con notas de cebolla y perejil. Tiene color blanco, textura suave y se recomienda cocinar en agua caliente a fuego bajo; producto no agroecológivo) 4 salchichas, aprox 800gr",Pieza,$140.00,10,10,$187.00,0,$0.00,$0.00
